Gene,Symbol,Pathway,Phase_Relevance,Evidence_Source,Log2FC_Thompson,FDR_Thompson,Druggability,Description,Network_Hub_Score,Cellular_Specificity_Score,V3_Score,V3_Rank,Genetic_Support_Score,Final_Mastery_Score,Causal_Evidence,Final_Rank,Pan_Enteric_Conservation_Score,Global_Impact_Score,Scope,Global_Rank
ATG7,ATG7,autophagy,Both,Literature,,,Moderate,Autophagy conjugation system,0.1910909090909091,0.5,0.5182,18,0.3,0.4964,Transcriptomic-only,18,0.45,0.4871,Typhoid-Centric,18
NOS2,iNOS,macrophage_polarization,Acute,Thompson2009,1.65,0.0002,Moderate,Nitric oxide synthase,0.0,0.5,0.5121,19,0.3,0.4909,Transcriptomic-only,19,0.45,0.4827,Typhoid-Centric,19
CASP1,CASP1,inflammasome,Acute,Thompson2009,0.92,0.002,Moderate,Inflammasome effector caspase,0.2832727272727272,0.5,0.5063,20,0.3,0.4857,Transcriptomic-only,20,0.45,0.4786,Typhoid-Centric,20
STAT6,STAT6,macrophage_polarization,Carrier,Literature,,,Moderate,M2 transcription factor,0.2165454545454545,0.5,0.4933,21,0.3,0.474,Transcriptomic-only,21,0.45,0.4692,Typhoid-Centric,21
ARG1,ARG1,macrophage_polarization,Carrier,Literature,,,Moderate,M2 marker arginase,0.2125454545454545,0.5,0.4925,22,0.3,0.4732,Transcriptomic-only,22,0.45,0.4686,Typhoid-Centric,22
IL18,IL18,inflammasome,Acute,Thompson2009,0.78,0.008,Moderate,Inflammasome cytokine,0.2592727272727272,0.5,0.4846,23,0.3,0.4661,Transcriptomic-only,23,0.45,0.4629,Typhoid-Centric,23
IKBKB,IKKb,nfkb_pathway,Acute,Literature,,,High,NFkB kinase,0.0,0.5,0.48,24,0.3,0.462,Transcriptomic-only,25,0.45,0.4596,Typhoid-Centric,24
SQSTM1,p62,autophagy,Both,Literature,,,Moderate,Selective autophagy receptor,0.0,0.5,0.48,25,0.3,0.462,Transcriptomic-only,24,0.45,0.4596,Typhoid-Centric,25
GSDMD,GSDMD,inflammasome,Acute,Literature,,,Moderate,Pyroptosis executor,0.0909090909090909,0.5,0.4782,26,0.3,0.4604,Transcriptomic-only,26,0.45,0.4583,Typhoid-Centric,26
ATP6V0D1,vATPase,phagosome_maturation,Both,Literature,,,Moderate,Vacuolar acidification,0.0,0.5,0.47,27,0.3,0.453,Transcriptomic-only,27,0.45,0.4524,Typhoid-Centric,27
CTSD,CathD,phagosome_maturation,Both,Literature,,,Moderate,Lysosomal protease,0.0,0.5,0.47,28,0.3,0.453,Transcriptomic-only,28,0.45,0.4524,Typhoid-Centric,28
RAB7A,RAB7,phagosome_maturation,Both,Literature,,,Moderate,Late endosome marker,0.0,0.5,0.47,29,0.3,0.453,Transcriptomic-only,29,0.45,0.4524,Typhoid-Centric,29
SLC40A1,Ferroportin,iron_homeostasis,Both,Literature,,,Moderate,Iron export,0.0,0.5,0.44,30,0.3,0.426,Transcriptomic-only,30,0.45,0.4308,Typhoid-Centric,30
LAMP2,LAMP2,phagosome_maturation,Both,Literature,,,Low,Lysosomal marker,0.1950909090909091,0.5,0.429,31,0.3,0.4161,Transcriptomic-only,31,0.45,0.4229,Typhoid-Centric,31
TGFB1,TGFb,cytokine_signaling,Carrier,Literature,,,Moderate,Immunosuppressive,0.0,0.5,0.42,32,0.3,0.408,Transcriptomic-only,32,0.45,0.4164,Typhoid-Centric,32
TNFAIP3,A20,nfkb_pathway,Acute,Thompson2009,1.15,0.001,Moderate,NFkB negative regulator,0.0,0.5,0.409,33,0.3,0.3981,Transcriptomic-only,33,0.45,0.4085,Typhoid-Centric,33
TFRC,TfR1,iron_homeostasis,Both,Thompson2009,0.68,0.02,Moderate,Transferrin receptor,0.0,0.5,0.4031,34,0.3,0.3928,Transcriptomic-only,34,0.45,0.4042,Typhoid-Centric,34
CD163,CD163,macrophage_polarization,Carrier,Literature,,,Low,M2 scavenger receptor,0.1590909090909091,0.5,0.4018,35,0.3,0.3916,Transcriptomic-only,35,0.45,0.4033,Typhoid-Centric,35
RELA,p65,nfkb_pathway,Acute,Literature,,,Moderate,NFkB subunit,0.0,0.5,0.4,36,0.3,0.39,Transcriptomic-only,37,0.45,0.402,Typhoid-Centric,36
MAP1LC3B,LC3B,autophagy,Both,Literature,,,Low,Autophagosome marker,0.0,0.5,0.4,37,0.3,0.39,Transcriptomic-only,36,0.45,0.402,Typhoid-Centric,37
NFKB1,NFkB,nfkb_pathway,Acute,Thompson2009,0.95,0.002,Moderate,Transcription factor,0.0,0.5,0.3913,38,0.3,0.3822,Transcriptomic-only,38,0.45,0.3958,Typhoid-Centric,38
RAB5A,RAB5,phagosome_maturation,Both,Literature,,,Low,Early endosome,0.0,0.5,0.39,39,0.3,0.381,Transcriptomic-only,39,0.45,0.3948,Typhoid-Centric,39
IL12B,IL12p40,cytokine_signaling,Acute,Thompson2009,0.72,0.01,Moderate,Th1 inducer,0.0,0.5,0.3888,40,0.3,0.3799,Transcriptomic-only,40,0.45,0.3939,Typhoid-Centric,40
PYCARD,ASC,inflammasome,Acute,Literature,,,Low,Inflammasome adaptor,0.0,0.5,0.38,41,0.3,0.372,Transcriptomic-only,41,0.45,0.3876,Typhoid-Centric,41
NCF1,p47phox,oxidative_stress,Acute,Literature,,,Moderate,NADPH oxidase regulatory,0.0,0.5,0.38,42,0.3,0.372,Transcriptomic-only,42,0.45,0.3876,Typhoid-Centric,42
CYBB,gp91phox,oxidative_stress,Acute,Thompson2009,0.95,0.003,Moderate,NADPH oxidase catalytic,0.0,0.5,0.3679,43,0.3,0.3611,Transcriptomic-only,43,0.45,0.3789,Typhoid-Centric,43
SLC11A1,NRAMP1,iron_homeostasis,Both,Literature,,,Low,Phagosomal iron export,0.0,0.5,0.36,44,0.3,0.354,Transcriptomic-only,44,0.45,0.3732,Typhoid-Centric,44
FTH1,Ferritin,iron_homeostasis,Both,Literature,,,Low,Iron storage,0.0,0.5,0.36,45,0.3,0.354,Transcriptomic-only,45,0.45,0.3732,Typhoid-Centric,45
SOD2,MnSOD,oxidative_stress,Acute,Thompson2009,0.72,0.015,Moderate,ROS detoxification,0.0,0.5,0.3463,46,0.3,0.3417,Transcriptomic-only,46,0.45,0.3634,Typhoid-Centric,46
NFKBIA,IkBa,nfkb_pathway,Acute,Literature,,,Low,NFkB inhibitor,0.0,0.5,0.32,47,0.3,0.318,Transcriptomic-only,47,0.45,0.3444,Typhoid-Centric,47
CAT,Catalase,oxidative_stress,Both,Literature,,,Low,H2O2 detoxification,0.0,0.5,0.3,48,0.3,0.3,Transcriptomic-only,48,0.45,0.33,Typhoid-Centric,48
